Samples,Plate,Donor,Celltype
T86_P4_D5_ILC2,T86_P4,T86,ILC2
T86_P4_D6_ILC3,T86_P4,T86,ILC3
T86_P4_D7_ILC3,T86_P4,T86,ILC3
T86_P4_D8_ILC3,T86_P4,T86,ILC3
T86_P4_E1_ILC3,T86_P4,T86,ILC3
T86_P4_E10_ILC3,T86_P4,T86,ILC3
T86_P4_E11_ILC3,T86_P4,T86,ILC3
T86_P4_E12_ILC3,T86_P4,T86,ILC3
T86_P4_E2_ILC3,T86_P4,T86,ILC3
T86_P4_E3_ILC3,T86_P4,T86,ILC3
T86_P4_E4_ILC3,T86_P4,T86,ILC3
T86_P4_E5_ILC3,T86_P4,T86,ILC3
T86_P4_E6_NK,T86_P4,T86,NK
T86_P4_E7_NK,T86_P4,T86,NK
T86_P4_E8_ILC3,T86_P4,T86,ILC3
T86_P4_E9_ILC3,T86_P4,T86,ILC3
T86_P4_F1_ILC3,T86_P4,T86,ILC3
T86_P4_F10_ILC3,T86_P4,T86,ILC3
T86_P4_F11_ILC3,T86_P4,T86,ILC3
T86_P4_F12_ILC3,T86_P4,T86,ILC3
T86_P4_F2_ILC3,T86_P4,T86,ILC3
T86_P4_F3_ILC3,T86_P4,T86,ILC3
T86_P4_F4_ILC3,T86_P4,T86,ILC3
T86_P4_F5_ILC3,T86_P4,T86,ILC3
T86_P4_F6_ILC3,T86_P4,T86,ILC3
T86_P4_F7_ILC3,T86_P4,T86,ILC3
T86_P4_F8_ILC3,T86_P4,T86,ILC3
T86_P4_F9_ILC3,T86_P4,T86,ILC3
T86_P4_G1_ILC3,T86_P4,T86,ILC3
T86_P4_G10_ILC3,T86_P4,T86,ILC3
T86_P4_G12_ILC3,T86_P4,T86,ILC3
T86_P4_G3_ILC1,T86_P4,T86,ILC1
T86_P4_G5_ILC3,T86_P4,T86,ILC3
T86_P4_G6_ILC3,T86_P4,T86,ILC3
T86_P4_G8_ILC3,T86_P4,T86,ILC3
T86_P4_G9_NK,T86_P4,T86,NK
T86_P4_H10_ILC3,T86_P4,T86,ILC3
T86_P4_H11_ILC3,T86_P4,T86,ILC3
T86_P4_H12_ILC3,T86_P4,T86,ILC3
T86_P4_H2_ILC3,T86_P4,T86,ILC3
T86_P4_H3_ILC3,T86_P4,T86,ILC3
T86_P4_H4_ILC3,T86_P4,T86,ILC3
T86_P4_H5_ILC3,T86_P4,T86,ILC3
T86_P4_H8_ILC3,T86_P4,T86,ILC3
